index,title,url,video_id,uploader,uploader_id,uploader_url,upload_date,duration,view_count,like_count,comment_count,tags,categories,description,thumbnail,age_limit,is_live,was_live,availability,webpage_url,original_url,error
1,Mariatta Wijaya: Welcome to PyCon US 2023,https://www.youtube.com/watch?v=eZwHvBsoPn4,eZwHvBsoPn4,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,1769.0,14389.0,76.0,1.0,,Education,Welcome speech from PyCon US 2023 Chair Mariatta Wijaya.,https://i.ytimg.com/vi_webp/eZwHvBsoPn4/maxresdefault.webp,0.0,False,False,public,https://www.youtube.com/watch?v=eZwHvBsoPn4,https://www.youtube.com/watch?v=eZwHvBsoPn4,
2,Keynote Speaker - Ned Batchelder,https://www.youtube.com/watch?v=n5QaOADqSyY,n5QaOADqSyY,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,2822.0,9832.0,174.0,7.0,,Education,"Ned Batchelder has been active in the Python community for more than 20 years. He is an organizer of Boston Python, and the maintainer of coverage.py and a handful of other tools. He works at 2U/edX on the Open edX project which powers edx.org and thousands of other online learning sites around the world. He blogs at https://nedbatchelder.com, and is on Mastodon as @nedbat@hachyderm.io.",https://i.ytimg.com/vi_webp/n5QaOADqSyY/maxresdefault.webp,0.0,False,False,public,https://www.youtube.com/watch?v=n5QaOADqSyY,https://www.youtube.com/watch?v=n5QaOADqSyY,
3,Keynote Speaker - Python Steering Council,https://www.youtube.com/watch?v=fYXAbfHZmRg,fYXAbfHZmRg,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,1241.0,1777.0,14.0,2.0,,Education,"The Python Steering Council is a 5-person elected committee that assumes a mandate to maintain the quality and stability of the Python language and CPython interpreter, improve the contributor experience, formalize and maintain a relationship between the Python core team and the PSF, establish decision making processes for Python Enhancement Proposals, seek consensus among contributors and the Python core team, and resolve decisions and disputes in decision making among the language.",https://i.ytimg.com/vi_webp/fYXAbfHZmRg/maxresdefault.webp,0.0,False,False,public,https://www.youtube.com/watch?v=fYXAbfHZmRg,https://www.youtube.com/watch?v=fYXAbfHZmRg,
4,Keynote Speaker - Diversity and Inclusion Panel,https://www.youtube.com/watch?v=RkvCK4fDSnQ,RkvCK4fDSnQ,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,1462.0,998.0,4.0,2.0,,Education,A Panel about Diversity and Inclusion.,https://i.ytimg.com/vi/RkvCK4fDSnQ/sddefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=RkvCK4fDSnQ,https://www.youtube.com/watch?v=RkvCK4fDSnQ,
5,Keynote Speaker - James Powell,https://www.youtube.com/watch?v=iKzOBWOHGFE,iKzOBWOHGFE,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,1543.0,6242.0,123.0,6.0,,Education,"James Powell's hacker name is “dontusethiscode” (or sometimes “dutc”)… which is also the name of the company where he works. Since 2014, Don't Use This Code has been confusing procurement staff, contract attorneys, and even the occasional managing director—“is this the name of a real company?” Yes, yes it is, and the Don't Use This Code team provides consulting and training services in software development, scientific computing, data analysis, and data engineering.

James is also a prolific speaker, having spoken at over eighty conferences worldwide. He has worn a suit and tie for every programming talk he's ever given, which is good, because it sets the bar on expectations really low. One time at PyCon, Guido even asked about the suit, to which James replied, “I am the most subversively dressed person here.

James is a dedicated supporter of the open source and open source scientific computing communities. In his volunteer time, he serves as the chairman of the NumFOCUS board of directors, as well as a lead organizer for NYC Python. He has also advised, chaired, and served on the organizing committee for over fifty open source conferences worldwide.",https://i.ytimg.com/vi_webp/iKzOBWOHGFE/maxresdefault.webp,0.0,False,False,public,https://www.youtube.com/watch?v=iKzOBWOHGFE,https://www.youtube.com/watch?v=iKzOBWOHGFE,
6,Keynote Speaker - Margaret Mitchell,https://www.youtube.com/watch?v=urBrxQ4e8WY,urBrxQ4e8WY,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,2549.0,2566.0,37.0,4.0,,Education,"Margaret Mitchell is a researcher focused on the ins and outs of machine learning and ethics-informed AI development in tech. She has published over 50 papers on natural language generation, assistive technology, computer vision, and AI ethics, and holds multiple patents in the areas of conversation generation and sentiment classification. She currently works at Hugging Face as Chief Ethics Scientist, driving forward work in the ML development ecosystem, ML data governance, AI evaluation, and AI ethics. She previously worked at Google AI as a Staff Research Scientist, where she founded and co-led Google's Ethical AI group, focused on foundational AI ethics research and operationalizing AI ethics Google-internally. Before joining Google, she was a researcher at Microsoft Research, focused on computer vision-to-language generation; and was a postdoc at Johns Hopkins, focused on Bayesian modeling and information extraction. She holds a PhD in Computer Science from the University of Aberdeen and a Master's in computational linguistics from the University of Washington. While earning her degrees, she also worked from 2005-2012 on machine learning, neurological disorders, and assistive technology at Oregon Health and Science University. She has spearheaded a number of workshops and initiatives at the intersections of diversity, inclusion, computer science, and ethics. Her work has received awards from Secretary of Defense Ash Carter and the American Foundation for the Blind, and has been implemented by multiple technology companies. She likes gardening, dogs, and cats.",https://i.ytimg.com/vi/urBrxQ4e8WY/maxresdefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=urBrxQ4e8WY,https://www.youtube.com/watch?v=urBrxQ4e8WY,
7,Keynote Speaker - Carol Willing,https://www.youtube.com/watch?v=4l6HiN1Hrjw,4l6HiN1Hrjw,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,2696.0,1313.0,18.0,1.0,,Education,"Carol Willing is the VP of Engineering at Noteable, a three-time Python Steering Council member, a Python Core Developer, PSF Fellow, and a Project Jupyter core contributor. In 2019, she was awarded the Frank Willison Award for technical and community contributions to Python. As part of the Jupyter core team, Carol was awarded the 2017 ACM Software System Award for Project Jupyter's lasting influence. She's also a leader in open science and open-source governance serving on Quansight Labs Advisory Board and the CZI Open Science Advisory Board. She's driven to make open science accessible through open tools and learning materials.",https://i.ytimg.com/vi/4l6HiN1Hrjw/maxresdefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=4l6HiN1Hrjw,https://www.youtube.com/watch?v=4l6HiN1Hrjw,
8,Keynote Speaker - Deb Nicholson: Community Service Awards & Python Software Foundation Update,https://www.youtube.com/watch?v=NZhHFDbul8g,NZhHFDbul8g,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,1639.0,611.0,2.0,,,Education,"Deb Nicholson is the Executive Director at the Python Software Foundation, the non-profit steward of the Python programming language. She is a free software policy expert and a passionate community advocate. After years of local organizing on free speech, marriage equality, government transparency and access to the political process, she joined the free software movement in 2006. She has previously served the open source ecosystem through her work at the Open Source Initiative, Software Freedom Conservancy, and the Open Invention Network. She’s won the O’Reilly Open Source Award and the Award for the Advancement of Free Software for her efforts to broaden the free and open source software movement. She is also a founding organizer of the Seattle GNU/Linux Conference, an annual event dedicated to surfacing new voices and welcoming new people to the free software community. She lives with her husband and her lucky black cat in Cambridge, Massachusetts.",https://i.ytimg.com/vi_webp/NZhHFDbul8g/maxresdefault.webp,0.0,False,False,public,https://www.youtube.com/watch?v=NZhHFDbul8g,https://www.youtube.com/watch?v=NZhHFDbul8g,
9,Keynote Speaker - Guido van Rossum,https://www.youtube.com/watch?v=yp6WuHFhYCo,yp6WuHFhYCo,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,1850.0,6393.0,83.0,1.0,,Education,"Guido van Rossum created Python in 1990 while working at CWI in Amsterdam. He was the language's BDFL until he stepped down in 2018. He has held various tech jobs, including Senior Staff Engineer at Google and Principal Engineer at Dropbox. He is currently a Distinguished Engineer at Microsoft, where he is still actively involved in Python's development. Born and raised in the Netherlands, he moved to the US in 1995 and currently lives with his family in the Bay Area.",https://i.ytimg.com/vi_webp/yp6WuHFhYCo/maxresdefault.webp,0.0,False,False,public,https://www.youtube.com/watch?v=yp6WuHFhYCo,https://www.youtube.com/watch?v=yp6WuHFhYCo,
10,PyCon US 2023 Closing Ceremony,https://www.youtube.com/watch?v=YsO9KHl8Q0E,YsO9KHl8Q0E,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,2016.0,615.0,2.0,,,Education,The closing ceremony of PyCon US 2023.,https://i.ytimg.com/vi_webp/YsO9KHl8Q0E/maxresdefault.webp,0.0,False,False,public,https://www.youtube.com/watch?v=YsO9KHl8Q0E,https://www.youtube.com/watch?v=YsO9KHl8Q0E,
11,,https://www.youtube.com/watch?v=7Ob2dbvH-Po,,,,,,,,,,,,,,,,,,,,ERROR: [youtube] 7Ob2dbvH-Po: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
12,"Lightning Talks - April 22, 8am",https://www.youtube.com/watch?v=33PEvLj-ik8,33PEvLj-ik8,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,2749.0,1057.0,7.0,5.0,,Education,A selection of lightning talks made by the community.,https://i.ytimg.com/vi_webp/33PEvLj-ik8/maxresdefault.webp,0.0,False,False,public,https://www.youtube.com/watch?v=33PEvLj-ik8,https://www.youtube.com/watch?v=33PEvLj-ik8,
13,"Lightning Talks - April 22, 5pm",https://www.youtube.com/watch?v=54q_cPCNNS8,54q_cPCNNS8,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,3532.0,1029.0,11.0,,,Education,A collection of lightning talks made by the community.,https://i.ytimg.com/vi/54q_cPCNNS8/maxresdefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=54q_cPCNNS8,https://www.youtube.com/watch?v=54q_cPCNNS8,
14,"Lightning Talks - April 23, 8am",https://www.youtube.com/watch?v=ziF44HeJatA,ziF44HeJatA,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,3856.0,735.0,10.0,,,Education,A selection of lightning talks made by the community.,https://i.ytimg.com/vi/ziF44HeJatA/sddefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=ziF44HeJatA,https://www.youtube.com/watch?v=ziF44HeJatA,
15,"Tutorials - Juhi, Dana: Intro to Hugging Face: Fine-tuning BERT for NLP tasks",https://www.youtube.com/watch?v=-249nmQfv1U,-249nmQfv1U,PyCon US,@PyConUS,https://www.youtube.com/@PyConUS,20230602,7792.0,2656.0,38.0,,,Education,"You’ve heard about ChatGPT’s conversational ability and how DALL-E can create images from a simple phrase. Now, you want to get your hands dirty training some state of the art (SOTA) deep learning models. We will use Jupyter notebooks to fine-tune an NLP model based on BERT to do sentiment analysis.

In this hands-on tutorial, we will learn about using HuggingFace models from pre-trained open-source checkpoints and adapting these models to our own specific tasks. We will see that using SOTA NLP and computer vision models has been made easier with a combination of HuggingFace and PyTorch.

At the end of this session, you will know how to fine-tune a large public pre-trained model to a particular task and have more confidence navigating the deep learning open source landscape.

Gideon's Kitchen | Key & Peele: https://youtu.be/DpaALjnfkcI",https://i.ytimg.com/vi/-249nmQfv1U/maxresdefault.jpg,0.0,False,False,public,https://www.youtube.com/watch?v=-249nmQfv1U,https://www.youtube.com/watch?v=-249nmQfv1U,
